Date,Status
19/06/2024,OTHERS
20/06/2024,OTHERS
21/06/2024,OTHERS
22/06/2024,NA
23/06/2024,NA
24/06/2024,AVAILABLE
25/06/2024,OTHERS
26/06/2024,AVAILABLE
27/06/2024,AVAILABLE
28/06/2024,NA
29/06/2024,NA
30/06/2024,NA
01/07/2024,ANNUAL_LEAVE
02/07/2024,TRAINING
03/07/2024,TRAINING
04/07/2024,OTHERS
05/07/2024,MEETING
06/07/2024,NA
07/07/2024,NA
08/07/2024,TRAINING
09/07/2024,AVAILABLE
10/07/2024,MEETING
11/07/2024,TRAINING
12/07/2024,OTHERS
13/07/2024,NA
14/07/2024,NA
15/07/2024,AVAILABLE
16/07/2024,ANNUAL_LEAVE
17/07/2024,TRAINING
18/07/2024,AVAILABLE
19/07/2024,AVAILABLE
20/07/2024,NA
21/07/2024,NA
22/07/2024,OTHERS
23/07/2024,AVAILABLE
24/07/2024,MEETING
25/07/2024,AVAILABLE
26/07/2024,TRAINING
27/07/2024,NA
28/07/2024,NA
29/07/2024,TRAINING
30/07/2024,MEETING
31/07/2024,TRAINING
01/08/2024,AVAILABLE
02/08/2024,AVAILABLE
03/08/2024,NA
04/08/2024,NA
05/08/2024,TRAINING
06/08/2024,OTHERS
07/08/2024,TRAINING
08/08/2024,AVAILABLE
09/08/2024,NA
10/08/2024,NA
11/08/2024,NA
12/08/2024,TRAINING
13/08/2024,ANNUAL_LEAVE
14/08/2024,ANNUAL_LEAVE
15/08/2024,TRAINING
16/08/2024,TRAINING
17/08/2024,NA
18/08/2024,NA
19/08/2024,TRAINING
20/08/2024,TRAINING
21/08/2024,TRAINING
22/08/2024,TRAINING
23/08/2024,TRAINING
24/08/2024,NA
25/08/2024,NA
26/08/2024,MEETING
27/08/2024,OTHERS
28/08/2024,ANNUAL_LEAVE
29/08/2024,ANNUAL_LEAVE
30/08/2024,OTHERS
31/08/2024,NA
01/09/2024,NA
02/09/2024,OTHERS
03/09/2024,AVAILABLE
04/09/2024,OTHERS
05/09/2024,AVAILABLE
06/09/2024,ANNUAL_LEAVE
07/09/2024,NA
08/09/2024,NA
09/09/2024,MEETING
10/09/2024,TRAINING
11/09/2024,TRAINING
12/09/2024,MEETING
13/09/2024,TRAINING
14/09/2024,NA
15/09/2024,NA
16/09/2024,OTHERS
17/09/2024,MEETING
18/09/2024,OTHERS
19/09/2024,MEETING
20/09/2024,AVAILABLE
21/09/2024,NA
22/09/2024,NA
23/09/2024,MEETING
24/09/2024,MEDICAL_LEAVE
25/09/2024,TRAINING
26/09/2024,MEETING
27/09/2024,OTHERS
28/09/2024,NA
29/09/2024,NA
30/09/2024,OTHERS
01/10/2024,MEETING
02/10/2024,MEETING
03/10/2024,AVAILABLE
04/10/2024,MEDICAL_LEAVE
05/10/2024,NA
06/10/2024,NA
07/10/2024,AVAILABLE
08/10/2024,OTHERS
09/10/2024,ANNUAL_LEAVE
10/10/2024,TRAINING
11/10/2024,TRAINING
12/10/2024,NA
13/10/2024,NA
14/10/2024,TRAINING
15/10/2024,AVAILABLE
16/10/2024,TRAINING
17/10/2024,TRAINING
18/10/2024,ANNUAL_LEAVE
19/10/2024,NA
20/10/2024,NA
21/10/2024,TRAINING
22/10/2024,MEDICAL_LEAVE
23/10/2024,TRAINING
24/10/2024,TRAINING
25/10/2024,AVAILABLE
26/10/2024,NA
27/10/2024,NA
28/10/2024,MEETING
29/10/2024,OTHERS
30/10/2024,AVAILABLE
31/10/2024,NA
01/11/2024,TRAINING
02/11/2024,NA
03/11/2024,NA
04/11/2024,AVAILABLE
05/11/2024,TRAINING
06/11/2024,MEETING
07/11/2024,TRAINING
08/11/2024,AVAILABLE
09/11/2024,NA
10/11/2024,NA
11/11/2024,OTHERS
12/11/2024,ANNUAL_LEAVE
13/11/2024,OTHERS
14/11/2024,TRAINING
15/11/2024,MEETING
16/11/2024,NA
17/11/2024,NA
18/11/2024,MEETING
19/11/2024,MEETING
20/11/2024,AVAILABLE
21/11/2024,MEETING
22/11/2024,AVAILABLE
23/11/2024,NA
24/11/2024,NA
25/11/2024,OTHERS
26/11/2024,MEDICAL_LEAVE
27/11/2024,MEDICAL_LEAVE
28/11/2024,MEETING
29/11/2024,AVAILABLE
30/11/2024,NA
01/12/2024,NA
02/12/2024,TRAINING
03/12/2024,AVAILABLE
04/12/2024,MEETING
05/12/2024,AVAILABLE
06/12/2024,MEETING
07/12/2024,NA
08/12/2024,NA
09/12/2024,MEETING
10/12/2024,AVAILABLE
11/12/2024,MEDICAL_LEAVE
12/12/2024,MEETING
13/12/2024,OTHERS
14/12/2024,NA
15/12/2024,NA
16/12/2024,AVAILABLE
17/12/2024,TRAINING
18/12/2024,OTHERS
19/12/2024,TRAINING
20/12/2024,TRAINING
21/12/2024,NA
22/12/2024,NA
23/12/2024,TRAINING
24/12/2024,MEETING
25/12/2024,NA
26/12/2024,MEDICAL_LEAVE
27/12/2024,AVAILABLE
28/12/2024,NA
29/12/2024,NA
30/12/2024,MEETING
31/12/2024,MEDICAL_LEAVE
